wall_time,trial_time,frame,sequence_nr,type,start_stop
1502179088.0260403,231.72902000000002,5769.0,235.0,LR,True
1502179090.177041,233.880021,5789.0,235.0,LR,False
1502179117.1810436,260.884023,6049.0,235.0,LL,True
1502179126.4500465,270.15302599999995,6140.0,235.0,LL,False
1502179129.1620438,272.865023,6167.0,235.0,LR,True
1502179131.4020464,275.10502599999995,6189.0,235.0,LR,False
1502179132.0100448,275.71202400000004,6195.0,235.0,LR,True
1502179132.344045,276.047024,6198.0,235.0,LR,False
1502179154.362046,298.065026,6410.0,235.0,LR,True
1502179156.7710474,300.474027,6434.0,235.0,LR,False
1502179157.434047,301.137026,6441.0,235.0,TR,False
1502179668.5219169,0.0,6606.0,236.0,TR,True
1502179671.049918,2.528002,6630.0,236.0,LR,True
1502179679.7699158,11.247999,6716.0,236.0,LR,False
1502179679.8909163,11.369000000000002,6717.0,236.0,LR,True
1502179706.0589185,37.537002,6964.0,236.0,LR,False
1502179709.4499214,40.928005,6998.0,236.0,LR,True
1502179715.2509215,46.729005,7055.0,236.0,LR,False
1502179715.9869227,47.465006,7062.0,236.0,LR,True
1502179745.0179214,76.49600500000001,7338.0,236.0,LR,False
1502179746.7999234,78.27800699999999,7355.0,236.0,LR,True
1502179763.3899245,94.86800799999999,7519.0,236.0,LR,False
1502179763.3969245,94.875008,7519.0,236.0,LR,True
1502179763.5639248,95.042008,7521.0,236.0,LR,False
1502179764.3779256,95.856009,7529.0,236.0,LL,True
1502179790.1439247,121.62200800000001,7780.0,236.0,LL,False
1502179802.170925,133.649008,7898.0,236.0,LL,True
1502179811.5959256,143.07400900000002,7991.0,236.0,LL,False
1502179815.2719266,146.749013,8025.0,236.0,LL,True
1502179819.4429302,150.92101399999999,8065.0,236.0,LL,False
1502179820.9069278,152.38501100000002,8080.0,236.0,LL,True
1502179835.0989301,166.577013,8217.0,236.0,LL,False
1502179853.666932,185.145016,8395.0,236.0,LL,True
1502179876.026934,207.50501699999998,8607.0,236.0,LL,False
1502179878.265934,209.744018,8629.0,236.0,LR,True
1502179896.394934,227.873017,8803.0,236.0,LR,False
1502179896.697934,228.176017,8806.0,236.0,LR,True
1502179905.7229366,237.20102000000003,8893.0,236.0,LR,False
1502179905.980935,237.45901899999998,8895.0,236.0,LR,True
1502179929.5859365,261.06402,9123.0,236.0,LR,False
1502179946.0499392,277.528023,9283.0,236.0,LL,True
1502179954.1249392,285.603023,9362.0,236.0,LL,False
1502179960.46994,291.94802400000003,9423.0,236.0,LL,True
1502179964.7939415,296.272025,9466.0,236.0,LL,False
1502179969.6589398,301.137023,9513.0,236.0,TR,False
1502180437.3705466,0.0,9696.0,237.0,TR,True
1502180439.038546,1.6680000000000001,9712.0,237.0,LL,True
1502180441.235546,3.8649989999999996,9733.0,237.0,LL,False
1502180442.7455475,5.375001,9748.0,237.0,LL,True
1502180443.6675467,6.297000000000001,9757.0,237.0,LL,False
1502180444.6665466,7.296,9767.0,237.0,LL,True
1502180444.8745465,7.504,9769.0,237.0,LL,False
1502180447.4025464,10.032,9794.0,237.0,LL,True
1502180453.2745466,15.904000000000002,9852.0,237.0,LL,False
1502180511.3057315,73.935185,10423.0,237.0,LR,True
1502180515.0837355,77.713189,10461.0,237.0,LR,False
1502180515.8277333,78.457187,10468.0,237.0,LR,True
1502180517.306733,79.93618599999999,10483.0,237.0,LR,False
1502180524.8667324,87.496186,10557.0,237.0,LR,True
1502180535.0817394,97.71119300000001,10655.0,237.0,LR,False
1502180540.4107327,103.040186,10707.0,237.0,LR,True
1502180540.826735,103.456189,10711.0,237.0,LR,False
1502180541.0187347,103.648188,10713.0,237.0,LL,True
1502180541.3727338,104.001187,10716.0,237.0,LL,False
1502180542.347736,104.977189,10726.0,237.0,LL,True
1502180547.1397345,109.76918799999999,10773.0,237.0,LL,False
1502180548.0667355,110.69618899999999,10782.0,237.0,LR,True
1502180549.6537356,112.283189,10798.0,237.0,LR,False
1502180554.2987366,116.92818999999999,10844.0,237.0,LR,True
1502180556.3837366,119.01319,10861.0,237.0,LR,False
1502180558.0457404,120.67519399999999,10878.0,237.0,LR,True
1502180559.3727355,122.00218899999999,10891.0,237.0,LR,False
1502180559.8667355,122.49618899999999,10896.0,237.0,LL,True
1502180561.290738,123.92019099999999,10910.0,237.0,LL,False
1502180572.3317375,134.96119099999999,11018.0,237.0,LR,True
1502180573.996742,136.626195,11034.0,237.0,LR,False
1502180574.5547373,137.184191,11040.0,237.0,LR,True
1502180577.383738,140.013192,11061.0,237.0,LR,False
1502180581.65874,144.288194,11104.0,237.0,LR,True
1502180585.3087392,147.93819299999998,11140.0,237.0,LR,False
1502180586.1797392,148.809193,11148.0,237.0,LR,True
1502180589.0967402,151.726194,11176.0,237.0,LR,False
1502180589.5877402,152.217194,11181.0,237.0,LL,True
1502180596.9557412,159.585195,11254.0,237.0,LL,False
